latitude,longitude,depth,datetime,value,parametername,dataprovider,datasettitle,stationname,valuesign
51.03484726,4.10582304,,2003-03-19T09:57:00,-,"Saliniteit in PSU in oppervlaktewater","De Vlaamse Waterweg","OMES: Monitoring sedimentology in the flemish part of the Scheldt estuary",Dendermonde,=
51.03484726,4.10582304,,2003-05-21T09:48:00,-,"Saliniteit in PSU in oppervlaktewater","De Vlaamse Waterweg","OMES: Monitoring sedimentology in the flemish part of the Scheldt estuary",Dendermonde,=
51.03484726,4.10582304,,2003-07-09T09:45:00,-,"Saliniteit in PSU in oppervlaktewater","De Vlaamse Waterweg","OMES: Monitoring sedimentology in the flemish part of the Scheldt estuary",Dendermonde,=
51.03484726,4.10582304,,2003-10-15T10:11:00,-,"Saliniteit in PSU in oppervlaktewater","De Vlaamse Waterweg","OMES: Monitoring sedimentology in the flemish part of the Scheldt estuary",Dendermonde,=
51.03484726,4.10582304,,2003-09-17T09:55:00,-,"Saliniteit in PSU in oppervlaktewater","De Vlaamse Waterweg","OMES: Monitoring sedimentology in the flemish part of the Scheldt estuary",Dendermonde,=
51.03484726,4.10582304,,2003-12-17T10:19:00,-,"Saliniteit in PSU in oppervlaktewater","De Vlaamse Waterweg","OMES: Monitoring sedimentology in the flemish part of the Scheldt estuary",Dendermonde,=
51.04915237,4.06053877,0.72000003,2011-01-12T09:35:00,-,"Stroomsnelheid in m/s in de waterkolom","De Vlaamse Waterweg","OMES: Monitoring sedimentology in the flemish part of the Scheldt estuary","Sint Onolfs",=
51.04915237,4.06053877,0.72000003,2010-12-15T09:59:00,-,"Stroomsnelheid in m/s in de waterkolom","De Vlaamse Waterweg","OMES: Monitoring sedimentology in the flemish part of the Scheldt estuary","Sint Onolfs",=
51.04915237,4.06053877,1.10000002,2010-06-09T09:57:00,-,"Stroomsnelheid in m/s in de waterkolom","De Vlaamse Waterweg","OMES: Monitoring sedimentology in the flemish part of the Scheldt estuary","Sint Onolfs",=
51.04915237,4.06053877,3.96000004,2010-06-09T09:57:00,-,"Stroomsnelheid in m/s in de waterkolom","De Vlaamse Waterweg","OMES: Monitoring sedimentology in the flemish part of the Scheldt estuary","Sint Onolfs",=
51.04915237,4.06053877,0.44,2010-06-09T09:57:00,-,"Stroomsnelheid in m/s in de waterkolom","De Vlaamse Waterweg","OMES: Monitoring sedimentology in the flemish part of the Scheldt estuary","Sint Onolfs",=
51.04915237,4.06053877,3.29999995,2010-06-09T09:57:00,-,"Stroomsnelheid in m/s in de waterkolom","De Vlaamse Waterweg","OMES: Monitoring sedimentology in the flemish part of the Scheldt estuary","Sint Onolfs",=
51.04915237,4.06053877,2.20000005,2010-06-09T09:57:00,-,"Stroomsnelheid in m/s in de waterkolom","De Vlaamse Waterweg","OMES: Monitoring sedimentology in the flemish part of the Scheldt estuary","Sint Onolfs",=
51.04915237,4.06053877,0.74000001,2010-03-17T09:50:00,-,"Stroomsnelheid in m/s in de waterkolom","De Vlaamse Waterweg","OMES: Monitoring sedimentology in the flemish part of the Scheldt estuary","Sint Onolfs",=
51.04915237,4.06053877,3.29999995,2010-03-17T09:50:00,-,"Stroomsnelheid in m/s in de waterkolom","De Vlaamse Waterweg","OMES: Monitoring sedimentology in the flemish part of the Scheldt estuary","Sint Onolfs",=
51.04915237,4.06053877,4.9000001,2010-03-17T09:50:00,-,"Stroomsnelheid in m/s in de waterkolom","De Vlaamse Waterweg","OMES: Monitoring sedimentology in the flemish part of the Scheldt estuary","Sint Onolfs",=
51.04915237,4.06053877,5.86000013,2010-03-17T09:50:00,-,"Stroomsnelheid in m/s in de waterkolom","De Vlaamse Waterweg","OMES: Monitoring sedimentology in the flemish part of the Scheldt estuary","Sint Onolfs",=
