Date and Time (UTC),Receiver,Description,Data,Units
2020-02-28 09:46:45,VR2AR-546043,Initialization,lifewatch,
2020-02-28 09:46:45,VR2AR-546043,Data Upload,VR2AR_546043_20200429_1.vrl,
2020-02-28 09:46:45,VR2AR-546043,PC Time,2020-02-28 10:46:45 UTC+01:00,
2020-02-28 09:46:45,VR2AR-546043,69 kHz decoding map,MAP-114,
2020-02-28 09:46:45,VR2AR-546043,69 kHz blanking interval,260,ms
2020-02-28 10:00:00,VR2AR-546043,Battery,3.6,V
2020-02-28 10:00:00,VR2AR-546043,Hourly Pings on 69 kHz,54,
2020-02-28 10:00:00,VR2AR-546043,Hourly Detections on 69 kHz,2,
2020-02-28 10:00:00,VR2AR-546043,Tilt angle,61,°
2020-02-28 10:00:00,VR2AR-546043,Seawater depth,6,m
2020-02-28 10:00:00,VR2AR-546043,Temperature,7.5,°C
2020-02-28 10:00:00,VR2AR-546043,Average noise,326.2,mV
2020-02-28 11:00:00,VR2AR-546043,Battery,3.6,V
2020-02-28 11:00:00,VR2AR-546043,Hourly Pings on 69 kHz,189,
2020-02-28 11:00:00,VR2AR-546043,Hourly Detections on 69 kHz,6,
2020-02-28 11:00:00,VR2AR-546043,Tilt angle,60,°
2020-02-28 11:00:00,VR2AR-546043,Seawater depth,5,m
2020-02-28 11:00:00,VR2AR-546043,Temperature,7.3,°C
2020-02-28 11:00:00,VR2AR-546043,Average noise,460.6,mV
2020-02-28 12:00:00,VR2AR-546043,Battery,3.6,V
2020-02-28 12:00:00,VR2AR-546043,Hourly Pings on 69 kHz,82,
2020-02-28 12:00:00,VR2AR-546043,Hourly Detections on 69 kHz,6,
2020-02-28 12:00:00,VR2AR-546043,Tilt angle,62,°
2020-02-28 12:00:00,VR2AR-546043,Seawater depth,5,m
2020-02-28 12:00:00,VR2AR-546043,Temperature,7.3,°C
2020-02-28 12:00:00,VR2AR-546043,Average noise,552.3,mV
2020-02-28 13:00:00,VR2AR-546043,Battery,3.6,V
2020-02-28 13:00:00,VR2AR-546043,Hourly Pings on 69 kHz,50,
2020-02-28 13:00:00,VR2AR-546043,Hourly Detections on 69 kHz,6,
2020-02-28 13:00:00,VR2AR-546043,Tilt angle,61,°
2020-02-28 13:00:00,VR2AR-546043,Seawater depth,4,m
2020-02-28 13:00:00,VR2AR-546043,Temperature,7.3,°C
2020-02-28 13:00:00,VR2AR-546043,Average noise,599.5,mV
2020-02-28 14:00:00,VR2AR-546043,Battery,3.6,V
2020-02-28 14:00:00,VR2AR-546043,Hourly Pings on 69 kHz,49,
2020-02-28 14:00:00,VR2AR-546043,Hourly Detections on 69 kHz,6,
2020-02-28 14:00:00,VR2AR-546043,Tilt angle,56,°
2020-02-28 14:00:00,VR2AR-546043,Seawater depth,4,m
2020-02-28 14:00:00,VR2AR-546043,Temperature,7.3,°C
2020-02-28 14:00:00,VR2AR-546043,Average noise,584.4,mV
2020-02-28 15:00:00,VR2AR-546043,Battery,3.6,V
2020-02-28 15:00:00,VR2AR-546043,Hourly Pings on 69 kHz,49,
2020-02-28 15:00:00,VR2AR-546043,Hourly Detections on 69 kHz,6,
2020-02-28 15:00:00,VR2AR-546043,Tilt angle,57,°
2020-02-28 15:00:00,VR2AR-546043,Seawater depth,4,m
2020-02-28 15:00:00,VR2AR-546043,Temperature,7.4,°C
2020-02-28 15:00:00,VR2AR-546043,Average noise,608.4,mV
2020-02-28 16:00:00,VR2AR-546043,Battery,3.6,V
2020-02-28 16:00:00,VR2AR-546043,Hourly Pings on 69 kHz,66,
2020-02-28 16:00:00,VR2AR-546043,Hourly Detections on 69 kHz,6,
2020-02-28 16:00:00,VR2AR-546043,Tilt angle,56,°
2020-02-28 16:00:00,VR2AR-546043,Seawater depth,4,m
2020-02-28 16:00:00,VR2AR-546043,Temperature,7.4,°C
2020-02-28 16:00:00,VR2AR-546043,Average noise,551.0,mV
2020-02-28 17:00:00,VR2AR-546043,Battery,3.6,V
2020-02-28 17:00:00,VR2AR-546043,Hourly Pings on 69 kHz,200,
2020-02-28 17:00:00,VR2AR-546043,Hourly Detections on 69 kHz,11,
2020-02-28 17:00:00,VR2AR-546043,Tilt angle,54,°
2020-02-28 17:00:00,VR2AR-546043,Seawater depth,4,m
2020-02-28 17:00:00,VR2AR-546043,Temperature,7.4,°C
2020-02-28 17:00:00,VR2AR-546043,Average noise,443.1,mV
2020-02-28 18:00:00,VR2AR-546043,Battery,3.6,V
2020-02-28 18:00:00,VR2AR-546043,Hourly Pings on 69 kHz,291,
2020-02-28 18:00:00,VR2AR-546043,Hourly Detections on 69 kHz,9,
2020-02-28 18:00:00,VR2AR-546043,Tilt angle,53,°
2020-02-28 18:00:00,VR2AR-546043,Seawater depth,5,m
2020-02-28 18:00:00,VR2AR-546043,Temperature,7.4,°C
2020-02-28 18:00:00,VR2AR-546043,Average noise,348.7,mV
2020-02-28 19:00:00,VR2AR-546043,Battery,3.6,V
2020-02-28 19:00:00,VR2AR-546043,Hourly Pings on 69 kHz,568,
2020-02-28 19:00:00,VR2AR-546043,Hourly Detections on 69 kHz,20,
2020-02-28 19:00:00,VR2AR-546043,Tilt angle,50,°
2020-02-28 19:00:00,VR2AR-546043,Seawater depth,6,m
2020-02-28 19:00:00,VR2AR-546043,Temperature,7.3,°C
2020-02-28 19:00:00,VR2AR-546043,Average noise,217.6,mV
2020-02-28 20:00:00,VR2AR-546043,Battery,3.6,V
2020-02-28 20:00:00,VR2AR-546043,Hourly Pings on 69 kHz,663,
2020-02-28 20:00:00,VR2AR-546043,Hourly Detections on 69 kHz,44,
2020-02-28 20:00:00,VR2AR-546043,Tilt angle,54,°
2020-02-28 20:00:00,VR2AR-546043,Seawater depth,6,m
2020-02-28 20:00:00,VR2AR-546043,Temperature,7.3,°C
2020-02-28 20:00:00,VR2AR-546043,Average noise,197.1,mV
2020-02-28 21:00:00,VR2AR-546043,Battery,3.6,V
2020-02-28 21:00:00,VR2AR-546043,Hourly Pings on 69 kHz,574,
2020-02-28 21:00:00,VR2AR-546043,Hourly Detections on 69 kHz,47,
2020-02-28 21:00:00,VR2AR-546043,Tilt angle,56,°
2020-02-28 21:00:00,VR2AR-546043,Seawater depth,5,m
2020-02-28 21:00:00,VR2AR-546043,Temperature,7.3,°C
2020-02-28 21:00:00,VR2AR-546043,Average noise,180.4,mV
2020-02-28 22:00:00,VR2AR-546043,Battery,3.6,V
2020-02-28 22:00:00,VR2AR-546043,Hourly Pings on 69 kHz,422,
2020-02-28 22:00:00,VR2AR-546043,Hourly Detections on 69 kHz,34,
2020-02-28 22:00:00,VR2AR-546043,Tilt angle,63,°
2020-02-28 22:00:00,VR2AR-546043,Seawater depth,5,m
2020-02-28 22:00:00,VR2AR-546043,Temperature,7.3,°C
2020-02-28 22:00:00,VR2AR-546043,Average noise,260.9,mV
2020-02-28 23:00:00,VR2AR-546043,Battery,3.6,V
2020-02-28 23:00:00,VR2AR-546043,Hourly Pings on 69 kHz,253,
2020-02-28 23:00:00,VR2AR-546043,Hourly Detections on 69 kHz,9,
2020-02-28 23:00:00,VR2AR-546043,Tilt angle,59,°
2020-02-28 23:00:00,VR2AR-546043,Seawater depth,5,m
2020-02-28 23:00:00,VR2AR-546043,Temperature,7.4,°C
2020-02-28 23:00:00,VR2AR-546043,Average noise,400.9,mV
2020-02-29 00:00:00,VR2AR-546043,Memory Capacity,0.0,%
2020-02-29 00:00:00,VR2AR-546043,Battery,3.6,V
2020-02-29 00:00:00,VR2AR-546043,Pings on 69 kHz,3621,
2020-02-29 00:00:00,VR2AR-546043,Syncs on 69 kHz,604,
2020-02-29 00:00:00,VR2AR-546043,Rejects on 69 kHz,70,
2020-02-29 00:00:00,VR2AR-546043,Hourly Pings on 69 kHz,109,
2020-02-29 00:00:00,VR2AR-546043,Hourly Detections on 69 kHz,6,
2020-02-29 00:00:00,VR2AR-546043,Motor battery voltage,3.8,V
2020-02-29 00:00:00,VR2AR-546043,Tilt angle,58,°
2020-02-29 00:00:00,VR2AR-546043,Seawater depth,4,m
2020-02-29 00:00:00,VR2AR-546043,Temperature,7.4,°C
2020-02-29 00:00:00,VR2AR-546043,Average noise,492.2,mV
2020-02-29 01:00:00,VR2AR-546043,Battery,3.6,V
2020-02-29 01:00:00,VR2AR-546043,Hourly Pings on 69 kHz,64,
2020-02-29 01:00:00,VR2AR-546043,Hourly Detections on 69 kHz,6,
2020-02-29 01:00:00,VR2AR-546043,Tilt angle,56,°
2020-02-29 01:00:00,VR2AR-546043,Seawater depth,4,m
2020-02-29 01:00:00,VR2AR-546043,Temperature,7.4,°C
2020-02-29 01:00:00,VR2AR-546043,Average noise,532.0,mV
2020-02-29 02:00:00,VR2AR-546043,Battery,3.6,V
2020-02-29 02:00:00,VR2AR-546043,Hourly Pings on 69 kHz,61,
2020-02-29 02:00:00,VR2AR-546043,Hourly Detections on 69 kHz,6,
2020-02-29 02:00:00,VR2AR-546043,Tilt angle,58,°
2020-02-29 02:00:00,VR2AR-546043,Seawater depth,3,m
2020-02-29 02:00:00,VR2AR-546043,Temperature,7.4,°C
2020-02-29 02:00:00,VR2AR-546043,Average noise,563.0,mV
2020-02-29 03:00:00,VR2AR-546043,Battery,3.6,V
2020-02-29 03:00:00,VR2AR-546043,Hourly Pings on 69 kHz,63,
2020-02-29 03:00:00,VR2AR-546043,Hourly Detections on 69 kHz,6,
2020-02-29 03:00:00,VR2AR-546043,Tilt angle,60,°
2020-02-29 03:00:00,VR2AR-546043,Seawater depth,3,m
2020-02-29 03:00:00,VR2AR-546043,Temperature,7.4,°C
2020-02-29 03:00:00,VR2AR-546043,Average noise,538.8,mV
2020-02-29 04:00:00,VR2AR-546043,Battery,3.6,V
2020-02-29 04:00:00,VR2AR-546043,Hourly Pings on 69 kHz,132,
2020-02-29 04:00:00,VR2AR-546043,Hourly Detections on 69 kHz,8,
2020-02-29 04:00:00,VR2AR-546043,Tilt angle,55,°
2020-02-29 04:00:00,VR2AR-546043,Seawater depth,3,m
2020-02-29 04:00:00,VR2AR-546043,Temperature,7.4,°C
2020-02-29 04:00:00,VR2AR-546043,Average noise,465.4,mV
2020-02-29 05:00:00,VR2AR-546043,Battery,3.6,V
2020-02-29 05:00:00,VR2AR-546043,Hourly Pings on 69 kHz,413,
2020-02-29 05:00:00,VR2AR-546043,Hourly Detections on 69 kHz,41,
2020-02-29 05:00:00,VR2AR-546043,Tilt angle,54,°
2020-02-29 05:00:00,VR2AR-546043,Seawater depth,4,m
2020-02-29 05:00:00,VR2AR-546043,Temperature,7.4,°C
2020-02-29 05:00:00,VR2AR-546043,Average noise,200.1,mV
2020-02-29 06:00:00,VR2AR-546043,Battery,3.6,V
2020-02-29 06:00:00,VR2AR-546043,Hourly Pings on 69 kHz,475,
2020-02-29 06:00:00,VR2AR-546043,Hourly Detections on 69 kHz,36,
2020-02-29 06:00:00,VR2AR-546043,Tilt angle,53,°
2020-02-29 06:00:00,VR2AR-546043,Seawater depth,5,m
2020-02-29 06:00:00,VR2AR-546043,Temperature,7.4,°C
2020-02-29 06:00:00,VR2AR-546043,Average noise,182.2,mV
2020-02-29 07:00:00,VR2AR-546043,Battery,3.6,V
2020-02-29 07:00:00,VR2AR-546043,Hourly Pings on 69 kHz,490,
2020-02-29 07:00:00,VR2AR-546043,Hourly Detections on 69 kHz,18,
2020-02-29 07:00:00,VR2AR-546043,Tilt angle,52,°
2020-02-29 07:00:00,VR2AR-546043,Seawater depth,6,m
2020-02-29 07:00:00,VR2AR-546043,Temperature,7.4,°C
2020-02-29 07:00:00,VR2AR-546043,Average noise,273.7,mV
2020-02-29 08:00:00,VR2AR-546043,Battery,3.6,V
2020-02-29 08:00:00,VR2AR-546043,Hourly Pings on 69 kHz,556,
2020-02-29 08:00:00,VR2AR-546043,Hourly Detections on 69 kHz,26,
2020-02-29 08:00:00,VR2AR-546043,Tilt angle,52,°
2020-02-29 08:00:00,VR2AR-546043,Seawater depth,6,m
2020-02-29 08:00:00,VR2AR-546043,Temperature,7.2,°C
2020-02-29 08:00:00,VR2AR-546043,Average noise,254.2,mV
2020-02-29 09:00:00,VR2AR-546043,Battery,3.6,V
2020-02-29 09:00:00,VR2AR-546043,Hourly Pings on 69 kHz,548,
2020-02-29 09:00:00,VR2AR-546043,Hourly Detections on 69 kHz,40,
2020-02-29 09:00:00,VR2AR-546043,Tilt angle,61,°
2020-02-29 09:00:00,VR2AR-546043,Seawater depth,6,m
2020-02-29 09:00:00,VR2AR-546043,Temperature,7.2,°C
2020-02-29 09:00:00,VR2AR-546043,Average noise,248.6,mV
2020-02-29 10:00:00,VR2AR-546043,Battery,3.6,V
2020-02-29 10:00:00,VR2AR-546043,Hourly Pings on 69 kHz,456,
2020-02-29 10:00:00,VR2AR-546043,Hourly Detections on 69 kHz,38,
2020-02-29 10:00:00,VR2AR-546043,Tilt angle,56,°
2020-02-29 10:00:00,VR2AR-546043,Seawater depth,5,m
2020-02-29 10:00:00,VR2AR-546043,Temperature,7.4,°C
2020-02-29 10:00:00,VR2AR-546043,Average noise,247.4,mV
2020-02-29 11:00:00,VR2AR-546043,Battery,3.6,V
2020-02-29 11:00:00,VR2AR-546043,Hourly Pings on 69 kHz,328,
2020-02-29 11:00:00,VR2AR-546043,Hourly Detections on 69 kHz,18,
2020-02-29 11:00:00,VR2AR-546043,Tilt angle,67,°
2020-02-29 11:00:00,VR2AR-546043,Seawater depth,5,m
2020-02-29 11:00:00,VR2AR-546043,Temperature,7.5,°C
2020-02-29 11:00:00,VR2AR-546043,Average noise,358.4,mV
2020-02-29 12:00:00,VR2AR-546043,Battery,3.6,V
2020-02-29 12:00:00,VR2AR-546043,Hourly Pings on 69 kHz,98,
2020-02-29 12:00:00,VR2AR-546043,Hourly Detections on 69 kHz,6,
2020-02-29 12:00:00,VR2AR-546043,Tilt angle,60,°
2020-02-29 12:00:00,VR2AR-546043,Seawater depth,4,m
2020-02-29 12:00:00,VR2AR-546043,Temperature,7.6,°C
2020-02-29 12:00:00,VR2AR-546043,Average noise,486.6,mV
2020-02-29 13:00:00,VR2AR-546043,Battery,3.6,V
2020-02-29 13:00:00,VR2AR-546043,Hourly Pings on 69 kHz,50,
2020-02-29 13:00:00,VR2AR-546043,Hourly Detections on 69 kHz,6,
2020-02-29 13:00:00,VR2AR-546043,Tilt angle,59,°
2020-02-29 13:00:00,VR2AR-546043,Seawater depth,4,m
2020-02-29 13:00:00,VR2AR-546043,Temperature,7.6,°C
2020-02-29 13:00:00,VR2AR-546043,Average noise,565.9,mV
2020-02-29 14:00:00,VR2AR-546043,Battery,3.6,V
2020-02-29 14:00:00,VR2AR-546043,Hourly Pings on 69 kHz,51,
2020-02-29 14:00:00,VR2AR-546043,Hourly Detections on 69 kHz,6,
2020-02-29 14:00:00,VR2AR-546043,Tilt angle,57,°
2020-02-29 14:00:00,VR2AR-546043,Seawater depth,4,m
2020-02-29 14:00:00,VR2AR-546043,Temperature,7.6,°C
2020-02-29 14:00:00,VR2AR-546043,Average noise,561.3,mV
2020-02-29 15:00:00,VR2AR-546043,Battery,3.6,V
2020-02-29 15:00:00,VR2AR-546043,Hourly Pings on 69 kHz,54,
2020-02-29 15:00:00,VR2AR-546043,Hourly Detections on 69 kHz,6,
2020-02-29 15:00:00,VR2AR-546043,Tilt angle,59,°
2020-02-29 15:00:00,VR2AR-546043,Seawater depth,3,m
2020-02-29 15:00:00,VR2AR-546043,Temperature,7.6,°C
2020-02-29 15:00:00,VR2AR-546043,Average noise,562.4,mV
2020-02-29 16:00:00,VR2AR-546043,Battery,3.6,V
2020-02-29 16:00:00,VR2AR-546043,Hourly Pings on 69 kHz,53,
2020-02-29 16:00:00,VR2AR-546043,Hourly Detections on 69 kHz,6,
2020-02-29 16:00:00,VR2AR-546043,Tilt angle,57,°
2020-02-29 16:00:00,VR2AR-546043,Seawater depth,3,m
2020-02-29 16:00:00,VR2AR-546043,Temperature,7.6,°C
2020-02-29 16:00:00,VR2AR-546043,Average noise,533.3,mV
2020-02-29 17:00:00,VR2AR-546043,Battery,3.6,V
2020-02-29 17:00:00,VR2AR-546043,Hourly Pings on 69 kHz,484,
2020-02-29 17:00:00,VR2AR-546043,Hourly Detections on 69 kHz,31,
2020-02-29 17:00:00,VR2AR-546043,Tilt angle,54,°
2020-02-29 17:00:00,VR2AR-546043,Seawater depth,4,m
2020-02-29 17:00:00,VR2AR-546043,Temperature,7.6,°C
2020-02-29 17:00:00,VR2AR-546043,Average noise,236.7,mV
2020-02-29 18:00:00,VR2AR-546043,Battery,3.6,V
2020-02-29 18:00:00,VR2AR-546043,Hourly Pings on 69 kHz,354,
2020-02-29 18:00:00,VR2AR-546043,Hourly Detections on 69 kHz,20,
2020-02-29 18:00:00,VR2AR-546043,Tilt angle,53,°
2020-02-29 18:00:00,VR2AR-546043,Seawater depth,5,m
2020-02-29 18:00:00,VR2AR-546043,Temperature,7.6,°C
2020-02-29 18:00:00,VR2AR-546043,Average noise,232.6,mV
2020-02-29 19:00:00,VR2AR-546043,Battery,3.6,V
2020-02-29 19:00:00,VR2AR-546043,Hourly Pings on 69 kHz,305,
2020-02-29 19:00:00,VR2AR-546043,Hourly Detections on 69 kHz,8,
2020-02-29 19:00:00,VR2AR-546043,Tilt angle,52,°
2020-02-29 19:00:00,VR2AR-546043,Seawater depth,6,m
2020-02-29 19:00:00,VR2AR-546043,Temperature,7.6,°C
2020-02-29 19:00:00,VR2AR-546043,Average noise,305.6,mV
2020-02-29 20:00:00,VR2AR-546043,Battery,3.6,V
