Date and Time (UTC),Receiver,Description,Data,Units
2020-02-28 09:19:09,VR2Tx-480877,Initialization,lifewatch,
2020-02-28 09:19:09,VR2Tx-480877,Data Upload,VR2Tx_480877_20200508_1.vrl,
2020-02-28 09:19:09,VR2Tx-480877,PC Time,2020-02-28 10:19:09 UTC+01:00,
2020-02-28 09:19:09,VR2Tx-480877,69 kHz decoding map,MAP-114,
2020-02-28 09:19:09,VR2Tx-480877,69 kHz blanking interval,260,ms
2020-02-28 10:00:00,VR2Tx-480877,Battery,3.5,V
2020-02-28 10:00:00,VR2Tx-480877,Hourly Pings on 69 kHz,559,
2020-02-28 10:00:00,VR2Tx-480877,Hourly Detections on 69 kHz,50,
2020-02-28 10:00:00,VR2Tx-480877,Tilt angle,21,°
2020-02-28 10:00:00,VR2Tx-480877,Temperature,7.8,°C
2020-02-28 10:00:00,VR2Tx-480877,Average noise,310.1,mV
2020-02-28 11:00:00,VR2Tx-480877,Battery,3.5,V
2020-02-28 11:00:00,VR2Tx-480877,Hourly Pings on 69 kHz,678,
2020-02-28 11:00:00,VR2Tx-480877,Hourly Detections on 69 kHz,74,
2020-02-28 11:00:00,VR2Tx-480877,Tilt angle,30,°
2020-02-28 11:00:00,VR2Tx-480877,Temperature,7.9,°C
2020-02-28 11:00:00,VR2Tx-480877,Average noise,416.3,mV
2020-02-28 12:00:00,VR2Tx-480877,Battery,3.5,V
2020-02-28 12:00:00,VR2Tx-480877,Hourly Pings on 69 kHz,534,
2020-02-28 12:00:00,VR2Tx-480877,Hourly Detections on 69 kHz,45,
2020-02-28 12:00:00,VR2Tx-480877,Tilt angle,33,°
2020-02-28 12:00:00,VR2Tx-480877,Temperature,7.9,°C
2020-02-28 12:00:00,VR2Tx-480877,Average noise,505.5,mV
2020-02-28 13:00:00,VR2Tx-480877,Battery,3.5,V
2020-02-28 13:00:00,VR2Tx-480877,Hourly Pings on 69 kHz,471,
2020-02-28 13:00:00,VR2Tx-480877,Hourly Detections on 69 kHz,43,
2020-02-28 13:00:00,VR2Tx-480877,Tilt angle,31,°
2020-02-28 13:00:00,VR2Tx-480877,Temperature,7.9,°C
2020-02-28 13:00:00,VR2Tx-480877,Average noise,531.9,mV
2020-02-28 14:00:00,VR2Tx-480877,Battery,3.5,V
2020-02-28 14:00:00,VR2Tx-480877,Hourly Pings on 69 kHz,519,
2020-02-28 14:00:00,VR2Tx-480877,Hourly Detections on 69 kHz,43,
2020-02-28 14:00:00,VR2Tx-480877,Tilt angle,29,°
2020-02-28 14:00:00,VR2Tx-480877,Temperature,8.0,°C
2020-02-28 14:00:00,VR2Tx-480877,Average noise,545.4,mV
2020-02-28 15:00:00,VR2Tx-480877,Battery,3.5,V
2020-02-28 15:00:00,VR2Tx-480877,Hourly Pings on 69 kHz,448,
2020-02-28 15:00:00,VR2Tx-480877,Hourly Detections on 69 kHz,42,
2020-02-28 15:00:00,VR2Tx-480877,Tilt angle,26,°
2020-02-28 15:00:00,VR2Tx-480877,Temperature,8.0,°C
2020-02-28 15:00:00,VR2Tx-480877,Average noise,563.4,mV
2020-02-28 16:00:00,VR2Tx-480877,Battery,3.5,V
2020-02-28 16:00:00,VR2Tx-480877,Hourly Pings on 69 kHz,548,
2020-02-28 16:00:00,VR2Tx-480877,Hourly Detections on 69 kHz,55,
2020-02-28 16:00:00,VR2Tx-480877,Tilt angle,23,°
2020-02-28 16:00:00,VR2Tx-480877,Temperature,8.0,°C
2020-02-28 16:00:00,VR2Tx-480877,Average noise,538.5,mV
2020-02-28 17:00:00,VR2Tx-480877,Battery,3.5,V
2020-02-28 17:00:00,VR2Tx-480877,Hourly Pings on 69 kHz,672,
2020-02-28 17:00:00,VR2Tx-480877,Hourly Detections on 69 kHz,69,
2020-02-28 17:00:00,VR2Tx-480877,Tilt angle,20,°
2020-02-28 17:00:00,VR2Tx-480877,Temperature,8.0,°C
2020-02-28 17:00:00,VR2Tx-480877,Average noise,481.1,mV
2020-02-28 18:00:00,VR2Tx-480877,Battery,3.5,V
2020-02-28 18:00:00,VR2Tx-480877,Hourly Pings on 69 kHz,1017,
2020-02-28 18:00:00,VR2Tx-480877,Hourly Detections on 69 kHz,110,
2020-02-28 18:00:00,VR2Tx-480877,Tilt angle,18,°
2020-02-28 18:00:00,VR2Tx-480877,Temperature,8.0,°C
2020-02-28 18:00:00,VR2Tx-480877,Average noise,386.3,mV
2020-02-28 19:00:00,VR2Tx-480877,Battery,3.5,V
